ElementName,date,AFRICA,AMERICAS,ASIA,EUROPE,OCEANIA
Net per capita Production Index Number (2004-2006 = 100),1961,93.1,74.13,50.25,85.87,89.05
Net per capita Production Index Number (2004-2006 = 100),1962,95.7,74.72,50.76,86.7,95.49
Net per capita Production Index Number (2004-2006 = 100),1963,96.86,76.18,51.62,86.17,96.25
Net per capita Production Index Number (2004-2006 = 100),1964,96.19,75.55,52.89,88.32,99.5
Net per capita Production Index Number (2004-2006 = 100),1965,96.07,76.82,52.85,88.15,95.6
Net per capita Production Index Number (2004-2006 = 100),1966,93.39,75.83,53.22,92.93,99.02
Net per capita Production Index Number (2004-2006 = 100),1967,96.55,77.36,53.77,95.69,92.91
Net per capita Production Index Number (2004-2006 = 100),1968,96.44,77.19,54.02,97.58,99.94
Net per capita Production Index Number (2004-2006 = 100),1969,97.83,76.73,53.76,93.76,96.62
Net per capita Production Index Number (2004-2006 = 100),1970,98.75,75.86,54.47,97,97.17
Net per capita Production Index Number (2004-2006 = 100),1971,98.81,78.2,54.58,97.2,97.89
Net per capita Production Index Number (2004-2006 = 100),1972,95.07,77.07,53.13,94.86,98.48
Net per capita Production Index Number (2004-2006 = 100),1973,92.05,76.93,55.02,103.98,99.6
Net per capita Production Index Number (2004-2006 = 100),1974,95.58,77.9,54.45,103.34,90.62
Net per capita Production Index Number (2004-2006 = 100),1975,94.07,80.06,55.74,100.73,96.4
Net per capita Production Index Number (2004-2006 = 100),1976,91.4,82.15,55.19,102.67,101.14
Net per capita Production Index Number (2004-2006 = 100),1977,88.7,84.18,56.14,101.99,97.95
Net per capita Production Index Number (2004-2006 = 100),1978,88.38,83.27,58.38,108.02,104.87
Net per capita Production Index Number (2004-2006 = 100),1979,86.79,84.57,57.97,107.37,101.3
Net per capita Production Index Number (2004-2006 = 100),1980,86.96,82.83,58.39,106.41,94.13
Net per capita Production Index Number (2004-2006 = 100),1981,87,87.72,60.33,103.91,97.61
Net per capita Production Index Number (2004-2006 = 100),1982,85.15,86.73,61.95,109,91.71
Net per capita Production Index Number (2004-2006 = 100),1983,82.83,78.35,64.1,109.09,100.22
Net per capita Production Index Number (2004-2006 = 100),1984,81.42,84.25,66.61,111.7,96.87
Net per capita Production Index Number (2004-2006 = 100),1985,84.86,87.05,66.63,108.9,98.2
Net per capita Production Index Number (2004-2006 = 100),1986,86.08,83.13,67.24,111.73,97.46
Net per capita Production Index Number (2004-2006 = 100),1987,84.2,83.09,67.26,111.16,94.95
Net per capita Production Index Number (2004-2006 = 100),1988,86.27,80.54,69.23,109.77,96.82
Net per capita Production Index Number (2004-2006 = 100),1989,87.65,83.17,70.37,112.2,94.42
Net per capita Production Index Number (2004-2006 = 100),1990,87.89,84.62,72.69,111.02,95.46
Net per capita Production Index Number (2004-2006 = 100),1991,91.82,84.15,73.06,106.41,95.14
Net per capita Production Index Number (2004-2006 = 100),1992,88.71,87.03,76.43,106.29,97.85
Net per capita Production Index Number (2004-2006 = 100),1993,89.05,82.37,78.15,103.7,98.91
Net per capita Production Index Number (2004-2006 = 100),1994,88.66,89.69,79.62,97.35,94.79
Net per capita Production Index Number (2004-2006 = 100),1995,87.36,88.04,82.23,96.74,98.77
Net per capita Production Index Number (2004-2006 = 100),1996,94.06,89.56,84.88,99.57,104.36
Net per capita Production Index Number (2004-2006 = 100),1997,91.32,91.35,85.45,99.87,105.73
Net per capita Production Index Number (2004-2006 = 100),1998,93.05,91.05,87.09,97.01,107.96
Net per capita Production Index Number (2004-2006 = 100),1999,94.35,93.55,89.18,98.73,109.76
Net per capita Production Index Number (2004-2006 = 100),2000,93.06,94.03,90.77,98.58,108.7
Net per capita Production Index Number (2004-2006 = 100),2001,92.83,93.37,91.51,98.53,111.42
Net per capita Production Index Number (2004-2006 = 100),2002,94.67,93.38,92.06,99.04,99.41
Net per capita Production Index Number (2004-2006 = 100),2003,97.49,95.95,94.67,96.58,105.67
Net per capita Production Index Number (2004-2006 = 100),2004,98.53,99.56,97.18,102.3,101.32
Net per capita Production Index Number (2004-2006 = 100),2005,99.89,99.74,100.17,99.11,104.81
Net per capita Production Index Number (2004-2006 = 100),2006,101.58,100.69,102.65,98.59,93.86
Net per capita Production Index Number (2004-2006 = 100),2007,98.04,104.32,106.55,97.46,95.27
Net per capita Production Index Number (2004-2006 = 100),2008,101.78,105.81,109.2,101.89,96.23
Net per capita Production Index Number (2004-2006 = 100),2009,100.4,104.13,109.73,102.82,96.18
Net per capita Production Index Number (2004-2006 = 100),2010,103.36,107.2,111.97,99.91,93.55
Net per capita Production Index Number (2004-2006 = 100),2011,101.57,107.54,115.41,104.29,97.95
Net per capita Production Index Number (2004-2006 = 100),2012,104.04,106.01,117.64,100.96,103.8
Net per capita Production Index Number (2004-2006 = 100),2013,105.04,110.14,117.8,105.32,101.78s
